area,nome_area,fascia_anagrafica,guariti,vaccinati
LIG,Liguria,60-69,12040,32596
LIG,Liguria,70-79,9926,44454
LIG,Liguria,80+,5329,29070
LOM,Lombardia,05-11,0,0
LOM,Lombardia,12-19,0,0
LOM,Lombardia,20-29,0,0
LOM,Lombardia,30-39,0,0
LOM,Lombardia,40-49,0,0
LOM,Lombardia,50-59,0,0
LOM,Lombardia,60-69,92021,237341
LOM,Lombardia,70-79,75455,278549
LOM,Lombardia,80+,51832,177712
MAR,Marche,05-11,0,0
MAR,Marche,12-19,0,0
MAR,Marche,20-29,0,0
MAR,Marche,30-39,0,0
MAR,Marche,40-49,0,0
MAR,Marche,50-59,0,0
MAR,Marche,60-69,23006,20001
MAR,Marche,70-79,18683,26921
MAR,Marche,80+,12394,23115
MOL,Molise,05-11,0,0
MOL,Molise,12-19,0,0
MOL,Molise,20-29,0,0
MOL,Molise,30-39,0,0
MOL,Molise,40-49,0,0
MOL,Molise,50-59,0,0
MOL,Molise,60-69,3832,3781
MOL,Molise,70-79,2723,4429
MOL,Molise,80+,1572,3371
PAB,P.A. Bolzano,05-11,0,0
PAB,P.A. Bolzano,12-19,0,0
PAB,P.A. Bolzano,20-29,0,0
PAB,P.A. Bolzano,30-39,0,0
PAB,P.A. Bolzano,40-49,0,0
PAB,P.A. Bolzano,50-59,0,0
PAB,P.A. Bolzano,60-69,5672,7452
PAB,P.A. Bolzano,70-79,4001,9361
PAB,P.A. Bolzano,80+,3120,7241
PAT,P.A. Trento,05-11,0,0
PAT,P.A. Trento,12-19,0,0
PAT,P.A. Trento,20-29,0,0
PAT,P.A. Trento,30-39,0,0
PAT,P.A. Trento,40-49,0,0
PAT,P.A. Trento,50-59,0,0
PAT,P.A. Trento,60-69,7587,10475
PAT,P.A. Trento,70-79,5632,13428
PAT,P.A. Trento,80+,3504,9435
PIE,Piemonte,05-11,0,0
PIE,Piemonte,12-19,0,0
PIE,Piemonte,20-29,0,0
PIE,Piemonte,30-39,0,0
PIE,Piemonte,40-49,0,0
PIE,Piemonte,50-59,0,0
PIE,Piemonte,60-69,49697,102121
PIE,Piemonte,70-79,42341,136963
PIE,Piemonte,80+,26218,43527
PUG,Puglia,05-11,0,0
PUG,Puglia,12-19,0,0
PUG,Puglia,20-29,0,0
PUG,Puglia,30-39,0,0
PUG,Puglia,40-49,0,0
PUG,Puglia,50-59,0,0
PUG,Puglia,60-69,37725,52190
PUG,Puglia,70-79,31544,66023
PUG,Puglia,80+,17936,43388
SAR,Sardegna,05-11,0,0
SAR,Sardegna,12-19,0,0
SAR,Sardegna,20-29,0,0
SAR,Sardegna,30-39,0,0
SAR,Sardegna,40-49,0,0
SAR,Sardegna,50-59,0,0
SAR,Sardegna,60-69,17012,24138
SAR,Sardegna,70-79,12929,29224
SAR,Sardegna,80+,8304,15478
SIC,Sicilia,05-11,0,0
SIC,Sicilia,12-19,0,0
SIC,Sicilia,20-29,0,0
SIC,Sicilia,30-39,0,0
SIC,Sicilia,40-49,0,0
SIC,Sicilia,50-59,0,0
SIC,Sicilia,60-69,30132,38085
SIC,Sicilia,70-79,22599,46441
SIC,Sicilia,80+,12052,32172
TOS,Toscana,05-11,0,0
TOS,Toscana,12-19,0,0
TOS,Toscana,20-29,0,0
TOS,Toscana,30-39,0,0
TOS,Toscana,40-49,0,0
TOS,Toscana,50-59,0,0
TOS,Toscana,60-69,43085,91251
TOS,Toscana,70-79,37368,118185
TOS,Toscana,80+,24489,69151
UMB,Umbria,05-11,0,0
UMB,Umbria,12-19,0,0
UMB,Umbria,20-29,0,0
UMB,Umbria,30-39,0,0
UMB,Umbria,40-49,0,0
UMB,Umbria,50-59,0,0
UMB,Umbria,60-69,13525,14874
UMB,Umbria,70-79,11414,20350
UMB,Umbria,80+,8315,15098
VDA,Valle d'Aosta,05-11,0,0
VDA,Valle d'Aosta,12-19,0,0
VDA,Valle d'Aosta,20-29,0,0
VDA,Valle d'Aosta,30-39,0,0
VDA,Valle d'Aosta,40-49,0,0
VDA,Valle d'Aosta,50-59,0,0
VDA,Valle d'Aosta,60-69,841,2607
VDA,Valle d'Aosta,70-79,708,3422
VDA,Valle d'Aosta,80+,392,2188
VEN,Veneto,05-11,0,0
VEN,Veneto,12-19,0,0
VEN,Veneto,20-29,0,0
VEN,Veneto,30-39,0,0
VEN,Veneto,40-49,0,0
VEN,Veneto,50-59,0,0
VEN,Veneto,60-69,74200,85217
VEN,Veneto,70-79,57233,98337
VEN,Veneto,80+,37711,61586
