data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-04-29,Pfizer/BioNTech,CAM,30-39,795,788,784,799,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,CAM,40-49,1344,1468,1556,1256,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,CAM,50-59,2528,2520,2677,2371,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,CAM,60-69,3444,3120,3100,3464,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,CAM,70-79,3731,3800,2629,4902,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,CAM,80-89,965,1563,651,1877,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,CAM,90+,145,356,178,323,ITF,ITF3,15,Campania
2021-04-29,Pfizer/BioNTech,EMR,16-19,117,89,184,22,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,20-29,407,465,640,232,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,30-39,591,708,937,362,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,40-49,1484,1609,2354,739,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,50-59,2541,2557,3681,1417,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,60-69,4283,4279,6389,2173,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,70-79,3257,3362,3229,3390,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,80-89,3442,4539,336,7645,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,EMR,90+,101,279,62,318,ITH,ITH5,8,Emilia-Romagna
2021-04-29,Pfizer/BioNTech,FVG,16-19,10,12,16,6,ITH,ITH4,6,Friuli-Venezia Giulia
